year,month,day,hour,map_mm,mat_degc,ptps
1979,10,1,0,0,7.889,0.01
1979,10,1,6,0,11.398,0.005
1979,10,1,12,0,15.102,0
1979,10,1,18,0,7.704,0.0133333333333333
1979,10,2,0,0,5.194,0.0283333333333333
1979,10,2,6,0,9.343,0.0166666666666667
1979,10,2,12,0,17.759,0
1979,10,2,18,0,6.852,0.138333333333333
1979,10,3,0,0,3.611,0.62
1979,10,3,6,0,10.389,0.0866666666666667
1979,10,3,12,0,16.657,0
1979,10,3,18,0,7.972,0.0483333333333333
1979,10,4,0,0,4.241,0.228333333333333
1979,10,4,6,0,8.519,0.135
1979,10,4,12,0,14.935,0
1979,10,4,18,0,5.917,0.0333333333333333
1979,10,5,0,0,3.537,0.0966666666666667
1979,10,5,6,0,8.009,0.0366666666666667
1979,10,5,12,0,14.343,0
1979,10,5,18,0,6.324,0.0466666666666667
1979,10,6,0,0,3.611,0.136666666666667
1979,10,6,6,0,8.824,0.035
1979,10,6,12,0,14.481,0
1979,10,6,18,0,7.009,0.0216666666666667
1979,10,7,0,0,4.824,0.0666666666666667
1979,10,7,6,0,9.231,0.0366666666666667
1979,10,7,12,0,16.065,0
1979,10,7,18,0,6.944,0.0283333333333333
1979,10,8,0,0,4.046,0.125
1979,10,8,6,0,8.37,0.0866666666666667
1979,10,8,12,0,16.611,0
1979,10,8,18,0,7,0.065
1979,10,9,0,0,3.667,0.353333333333333
1979,10,9,6,0,9.454,0.105
1979,10,9,12,0,17.315,0
1979,10,9,18,0,6.852,0.138333333333333
1979,10,10,0,0,3.13,0.548333333333333
1979,10,10,6,0,9.731,0.128333333333333
1979,10,10,12,0,16.083,0
1979,10,10,18,0,6.991,0.0716666666666667
1979,10,11,0,0,4.056,0.276666666666667
1979,10,11,6,0,8.713,0.161666666666667
1979,10,11,12,0,16.324,0
1979,10,11,18,0,6.574,0.0833333333333333
1979,10,12,0,0,3.759,0.168333333333333
1979,10,12,6,0,8.222,0.055
1979,10,12,12,0,12.944,0.00166666666666667
1979,10,12,18,0,5.806,0.055
1979,10,13,0,0,4.111,0.0816666666666667
1979,10,13,6,0,6.88,0.0366666666666667
1979,10,13,12,0,11.056,0.00333333333333333
1979,10,13,18,4.191,7.843,0.01
1979,10,14,0,1.397,7.639,0.01
1979,10,14,6,0.1016,9.028,0.01
1979,10,14,12,0.4064,10.704,0.01
1979,10,14,18,0.127,7.907,0.0116666666666667
1979,10,15,0,0.3048,5.991,0.0316666666666667
1979,10,15,6,1.6764,8.481,0.0183333333333333
1979,10,15,12,1.6764,13.009,0
1979,10,15,18,1.6764,7.269,0.0183333333333333
1979,10,16,0,1.397,6.741,0.0183333333333333
1979,10,16,6,0.1016,9.685,0.01
1979,10,16,12,1.778,9.824,0.01
1979,10,16,18,0.2286,7.269,0.0166666666666667
1979,10,17,0,2.8702,5.102,0.0366666666666667
1979,10,17,6,6.4008,5.685,0.04
1979,10,17,12,0.889,9.917,0.01
1979,10,17,18,0,5.741,0.04
1979,10,18,0,6.5024,4.741,0.0533333333333333
1979,10,18,6,7.6962,5.315,0.035
1979,10,18,12,2.6162,6.13,0.0416666666666667
1979,10,18,18,0.5588,3.074,0.103333333333333
1979,10,19,0,0.0508,3.333,0.0866666666666667
1979,10,19,6,3.2512,4.148,0.085
1979,10,19,12,2.0828,6.444,0.0483333333333333
1979,10,19,18,0.0254,1.759,0.283333333333333
1979,10,20,0,0.3556,0.63,0.488333333333333
1979,10,20,6,0.0254,3.593,0.161666666666667
1979,10,20,12,1.2192,7.556,0.0233333333333333
1979,10,20,18,0,1.435,0.391666666666667
1979,10,21,0,0,0.472,0.591666666666667
1979,10,21,6,0,3.019,0.31
1979,10,21,12,0,7.417,0.0266666666666667
1979,10,21,18,1.524,4.028,0.203333333333333
1979,10,22,0,5.9182,3.546,0.18
1979,10,22,6,3.8354,4.019,0.07
1979,10,22,12,4.3688,6.75,0.03
1979,10,22,18,7.5692,4.037,0.0666666666666667
1979,10,23,0,6.604,4.148,0.0533333333333333
1979,10,23,6,3.2512,6.019,0.025
1979,10,23,12,0.8636,7.611,0.015
1979,10,23,18,0,3.435,0.1
1979,10,24,0,0,4.704,0.0766666666666667
1979,10,24,6,1.6256,6.722,0.04
1979,10,24,12,10.4394,8.528,0.0116666666666667
1979,10,24,18,8.0264,9.093,0.01
1979,10,25,0,7.5184,8.833,0.01
1979,10,25,6,3.175,8.046,0.0216666666666667
1979,10,25,12,4.5466,8.509,0.02
1979,10,25,18,7.0866,6.62,0.03
1979,10,26,0,4.2164,5.796,0.0416666666666667
1979,10,26,6,2.8448,6.889,0.025
1979,10,26,12,9.271,8.898,0.01
1979,10,26,18,15.3162,7.361,0.015
1979,10,27,0,5.4356,7.352,0.0133333333333333
1979,10,27,6,1.1684,5.972,0.03
1979,10,27,12,3.5306,5.231,0.0483333333333333
1979,10,27,18,9.6266,4.565,0.05
1979,10,28,0,1.524,4.176,0.0533333333333333
1979,10,28,6,0.0254,4.648,0.05
1979,10,28,12,0.3048,5.278,0.05
1979,10,28,18,2.1336,4.657,0.05
1979,10,29,0,0.5588,3.296,0.09
1979,10,29,6,0,3.954,0.105
1979,10,29,12,0,6.593,0.0316666666666667
1979,10,29,18,0,2.898,0.111666666666667
1979,10,30,0,0,3.269,0.0966666666666667
1979,10,30,6,0,5.259,0.06
1979,10,30,12,0,8.167,0.0216666666666667
1979,10,30,18,0,3.565,0.141666666666667
1979,10,31,0,0,0.611,0.713333333333333
1979,10,31,6,0,4.213,0.226666666666667
1979,10,31,12,0,6.861,0.0366666666666667
1979,10,31,18,0,0.491,0.736666666666667
1979,11,1,0,0,-1.204,1
1979,11,1,6,0,1.741,0.615
1979,11,1,12,0,6.287,0.0883333333333333
1979,11,1,18,0,2,0.596666666666667
1979,11,2,0,0,1.194,0.546666666666667
1979,11,2,6,1.651,3.509,0.166666666666667
1979,11,2,12,0.2286,5.481,0.0583333333333333
1979,11,2,18,5.7658,2.407,0.193333333333333
1979,11,3,0,1.2954,1.824,0.221666666666667
1979,11,3,6,0.8128,3.102,0.135
1979,11,3,12,0.1016,5.046,0.0616666666666667
1979,11,3,18,0,2.009,0.188333333333333
1979,11,4,0,0,0.833,0.42
1979,11,4,6,0,1.907,0.378333333333333
1979,11,4,12,0,5.935,0.0566666666666667
1979,11,4,18,0,2.185,0.243333333333333
1979,11,5,0,0,1.194,0.376666666666667
1979,11,5,6,0,3.843,0.123333333333333
1979,11,5,12,0,6.556,0.0583333333333333
1979,11,5,18,0,0.731,0.561666666666667
1979,11,6,0,0,0.278,0.785
1979,11,6,6,0,3.88,0.283333333333333
1979,11,6,12,0,8.139,0.025
1979,11,6,18,0,3.806,0.193333333333333
1979,11,7,0,0,1.769,0.656666666666667
1979,11,7,6,0,3.157,0.505
1979,11,7,12,0,6.454,0.115
1979,11,7,18,0,-0.676,0.998333333333333
1979,11,8,0,0,-1.75,1
1979,11,8,6,0,1.481,0.68
1979,11,8,12,0,5.759,0.225
1979,11,8,18,0,-1.472,0.99
1979,11,9,0,0,-3.907,1
1979,11,9,6,0,0.361,0.78
1979,11,9,12,0,4.722,0.281666666666667
1979,11,9,18,0,-0.833,0.95
1979,11,10,0,0,-2.194,1
1979,11,10,6,0,-1.028,0.77
1979,11,10,12,0,1.731,0.42
1979,11,10,18,0,-2.537,1
1979,11,11,0,0,-2.889,1
1979,11,11,6,0,-0.046,0.98
1979,11,11,12,0,1.917,0.84
1979,11,11,18,0,-4.324,1
1979,11,12,0,0,-5.213,1
1979,11,12,6,0,-1.389,0.983333333333333
1979,11,12,12,0,3.065,0.695
1979,11,12,18,0,-2.537,1
1979,11,13,0,0,-5.537,1
1979,11,13,6,0,-1.333,0.955
1979,11,13,12,0,3.833,0.533333333333333
1979,11,13,18,0,-2.398,1
1979,11,14,0,0,-4.574,1
1979,11,14,6,0,-0.981,0.995
1979,11,14,12,0,4.454,0.575
1979,11,14,18,0,0.63,1
1979,11,15,0,0,-3.111,1
1979,11,15,6,0,0.167,0.965
1979,11,15,12,1.9304,4.731,0.256666666666667
1979,11,15,18,1.3208,2.509,0.316666666666667
1979,11,16,0,0.8128,2.028,0.203333333333333
1979,11,16,6,3.4544,2.833,0.118333333333333
1979,11,16,12,0.5842,5.13,0.0533333333333333
1979,11,16,18,4.6736,3.861,0.0766666666666667
1979,11,17,0,5.842,3.398,0.085
1979,11,17,6,1.524,3.25,0.101666666666667
1979,11,17,12,3.6576,2.574,0.176666666666667
1979,11,17,18,1.5494,0.481,0.543333333333333
1979,11,18,0,1.3208,-0.889,0.89
1979,11,18,6,1.7018,-0.13,0.681666666666667
1979,11,18,12,0.6604,1.981,0.26
1979,11,18,18,0,0,0.738333333333333
1979,11,19,0,0,0.204,0.65
1979,11,19,6,0,-0.074,0.676666666666667
1979,11,19,12,0,1.426,0.41
1979,11,19,18,0,-1.583,0.973333333333333
1979,11,20,0,0,-2.759,1
1979,11,20,6,0,-1.083,0.993333333333333
1979,11,20,12,0,1.509,0.933333333333333
1979,11,20,18,0,-0.954,1
1979,11,21,0,0,-1.185,1
1979,11,21,6,0,-0.278,0.998333333333333
1979,11,21,12,0,2.269,0.96
1979,11,21,18,0.762,0.343,0.996666666666667
1979,11,22,0,18.3388,-0.38,0.921666666666667
1979,11,22,6,11.0744,-0.167,0.818333333333333
1979,11,22,12,3.3528,1.519,0.318333333333333
1979,11,22,18,4.6228,0.278,0.493333333333333
1979,11,23,0,1.0414,-1,0.941666666666667
1979,11,23,6,0.0762,-0.574,0.796666666666667
1979,11,23,12,3.4036,0.602,0.543333333333333
1979,11,23,18,1.0668,-1.546,0.985
1979,11,24,0,0.1524,-3.731,1
1979,11,24,6,2.921,-2.574,0.996666666666667
1979,11,24,12,2.794,-1.38,0.986666666666667
1979,11,24,18,3.0226,-3.278,1
1979,11,25,0,2.4638,-3.926,1
1979,11,25,6,0.5588,-3.648,1
1979,11,25,12,0,-2.481,0.996666666666667
1979,11,25,18,0,-3.88,1
1979,11,26,0,0,-5.222,1
1979,11,26,6,0,-4.398,1
1979,11,26,12,0.0254,-2.843,0.998333333333333
1979,11,26,18,0.3302,-6.343,1
1979,11,27,0,0,-7.37,1
1979,11,27,6,0,-6.093,1
1979,11,27,12,0,-2.454,0.998333333333333
1979,11,27,18,0,-4.574,1
1979,11,28,0,0,-5.509,1
1979,11,28,6,0,-3.528,1
1979,11,28,12,0,-0.852,1
1979,11,28,18,0,-3.509,1
1979,11,29,0,0,-3.676,1
1979,11,29,6,0,-2.991,1
1979,11,29,12,0,-0.481,0.991666666666667
1979,11,29,18,0.9652,-0.389,0.83
1979,11,30,0,10.1092,0.241,0.533333333333333
1979,11,30,6,4.4958,-0.602,0.868333333333333
1979,11,30,12,1.016,-0.185,0.673333333333333
1979,11,30,18,0,-3.241,0.998333333333333
1979,12,1,0,0,-3.37,1
1979,12,1,6,0,-1.657,0.983333333333333
1979,12,1,12,4.6736,0.37,0.59
1979,12,1,18,14.5796,0.509,0.413333333333333
1979,12,2,0,18.0086,1.315,0.213333333333333
1979,12,2,6,4.4958,0.194,0.55
1979,12,2,12,0.6858,-0.056,0.711666666666667
1979,12,2,18,0.1016,-0.787,0.88
1979,12,3,0,0,-0.769,0.925
1979,12,3,6,4.4958,0.111,0.658333333333333
1979,12,3,12,7.874,3.5,0.0933333333333333
1979,12,3,18,24.2316,6.019,0.035
1979,12,4,0,21.3868,5.722,0.0416666666666667
1979,12,4,6,3.6322,2.444,0.14
1979,12,4,12,1.3208,1.546,0.236666666666667
1979,12,4,18,0.4826,1.889,0.168333333333333
1979,12,5,0,1.1684,2.287,0.126666666666667
1979,12,5,6,4.1402,3.528,0.0766666666666667
1979,12,5,12,6.1722,4.093,0.0666666666666667
1979,12,5,18,5.588,3.87,0.07
1979,12,6,0,9.4488,3.833,0.0733333333333333
1979,12,6,6,3.7592,4.148,0.07
1979,12,6,12,1.7272,4.343,0.0683333333333333
1979,12,6,18,1.2192,4.139,0.0633333333333333
1979,12,7,0,1.4224,3.269,0.085
1979,12,7,6,2.2606,2.528,0.118333333333333
1979,12,7,12,0.4318,3.713,0.0733333333333333
1979,12,7,18,0.2032,2.685,0.1
1979,12,8,0,0.1524,2.981,0.0966666666666667
1979,12,8,6,1.8542,3.981,0.065
1979,12,8,12,17.0942,4.324,0.0616666666666667
1979,12,8,18,8.1534,3.333,0.075
1979,12,9,0,11.7348,3.88,0.0583333333333333
1979,12,9,6,5.6134,2.963,0.0883333333333333
1979,12,9,12,7.747,2.315,0.135
1979,12,9,18,2.7178,-1.333,0.905
1979,12,10,0,1.6256,-2.889,1
1979,12,10,6,3.0734,-1.843,1
1979,12,10,12,1.8542,-1.269,0.995
1979,12,10,18,0.6858,-1.759,1
1979,12,11,0,0.5842,-0.731,0.998333333333333
1979,12,11,6,1.2192,0.269,0.656666666666667
1979,12,11,12,5.6642,2.056,0.133333333333333
1979,12,11,18,7.4168,1.824,0.158333333333333
1979,12,12,0,2.3368,-0.028,0.665
1979,12,12,6,3.9878,-0.898,0.966666666666667
1979,12,12,12,4.318,-0.352,0.8
1979,12,12,18,5.1308,-1.222,0.98
1979,12,13,0,37.4904,1.102,0.421666666666667
1979,12,13,6,21.5138,2.222,0.126666666666667
1979,12,13,12,33.3502,3.093,0.1
1979,12,13,18,48.641,3.028,0.095
1979,12,14,0,40.4368,1.454,0.196666666666667
1979,12,14,6,10.8204,1.5,0.218333333333333
1979,12,14,12,10.4902,1.231,0.303333333333333
1979,12,14,18,1.8796,-0.176,0.558333333333333
1979,12,15,0,0.127,-2.463,0.98
1979,12,15,6,0.762,-4.889,1
1979,12,15,12,0.762,-4.472,1
1979,12,15,18,0.762,-3.259,1
1979,12,16,0,0.635,-0.685,0.948333333333333
1979,12,16,6,1.1176,0.009,0.866666666666667
1979,12,16,12,9.8298,0.204,0.85
1979,12,16,18,28.9052,-0.269,0.723333333333333
1979,12,17,0,61.2648,2.657,0.16
1979,12,17,6,9.9314,3.759,0.0833333333333333
1979,12,17,12,17.78,5.954,0.05
1979,12,17,18,6.9342,5.676,0.05
1979,12,18,0,2.5908,5.852,0.0483333333333333
1979,12,18,6,0.9144,4.278,0.0733333333333333
1979,12,18,12,18.3896,6.083,0.045
1979,12,18,18,12.6492,4.157,0.075
1979,12,19,0,18.3134,3.509,0.0833333333333333
1979,12,19,6,11.557,4.12,0.0716666666666667
1979,12,19,12,9.8806,3.944,0.085
1979,12,19,18,1.9304,2.796,0.108333333333333
1979,12,20,0,0.3302,2.815,0.113333333333333
1979,12,20,6,1.2192,2.935,0.125
1979,12,20,12,7.0358,4.639,0.0566666666666667
1979,12,20,18,0.5334,3.046,0.0916666666666667
1979,12,21,0,9.0424,2.991,0.0933333333333333
1979,12,21,6,1.3462,3.389,0.0833333333333333
1979,12,21,12,4.4958,3.87,0.075
1979,12,21,18,1.2954,0.306,0.606666666666667
1979,12,22,0,0.1016,-1.88,0.998333333333333
1979,12,22,6,2.9464,0.352,0.57
1979,12,22,12,0.3302,0.157,0.673333333333333
1979,12,22,18,0,-3.12,1
1979,12,23,0,0,-1.87,1
1979,12,23,6,0.254,-0.694,0.998333333333333
1979,12,23,12,3.1496,1.12,0.753333333333333
1979,12,23,18,1.397,-0.481,0.95
1979,12,24,0,1.6764,0.222,0.621666666666667
1979,12,24,6,1.397,1.454,0.263333333333333
1979,12,24,12,1.6256,2.259,0.215
1979,12,24,18,1.651,2.278,0.185
1979,12,25,0,0.762,1.843,0.216666666666667
1979,12,25,6,0.6096,2.426,0.155
1979,12,25,12,1.3462,2.787,0.14
1979,12,25,18,2.0066,1.037,0.323333333333333
1979,12,26,0,1.9812,1.648,0.221666666666667
1979,12,26,6,0.4826,2.546,0.128333333333333
1979,12,26,12,0.0508,3.009,0.111666666666667
1979,12,26,18,0,2.241,0.143333333333333
1979,12,27,0,0,-0.574,0.723333333333333
1979,12,27,6,0,-0.074,0.676666666666667
1979,12,27,12,0,2.25,0.483333333333333
1979,12,27,18,0,0.287,0.998333333333333
1979,12,28,0,0,-0.046,1
1979,12,28,6,0,0.556,0.961666666666667
1979,12,28,12,0,2.472,0.321666666666667
1979,12,28,18,0,-0.611,0.9
1979,12,29,0,0.1524,-1.222,0.978333333333333
1979,12,29,6,0.9144,0.704,0.536666666666667
1979,12,29,12,0.9144,3.843,0.1
1979,12,29,18,0.9144,1.019,0.49
1979,12,30,0,0.762,0.657,0.715
1979,12,30,6,0,2.333,0.328333333333333
1979,12,30,12,4.3434,3.528,0.138333333333333
1979,12,30,18,1.7272,0.898,0.393333333333333
1979,12,31,0,0.5334,2.491,0.14
1979,12,31,6,2.0066,2.037,0.17
1979,12,31,12,12.4968,2.676,0.136666666666667
1979,12,31,18,0.0508,1.824,0.19
1980,1,1,0,1.7272,1.806,0.195
1980,1,1,6,5.08,1.722,0.196666666666667
1980,1,1,12,1.7526,2,0.175
1980,1,1,18,0.1778,0.5,0.473333333333333
1980,1,2,0,0.6604,1.407,0.285
1980,1,2,6,2.9718,2.398,0.161666666666667
1980,1,2,12,2.4892,1.731,0.305
1980,1,2,18,0.0254,-0.676,0.89
1980,1,3,0,0,-0.815,0.941666666666667
1980,1,3,6,0.0254,-1.426,0.945
1980,1,3,12,0.0508,1.361,0.383333333333333
1980,1,3,18,0,-0.907,0.956666666666667
1980,1,4,0,0,-1.722,1
1980,1,4,6,0,-2.269,1
1980,1,4,12,0,-0.519,0.998333333333333
1980,1,4,18,0,-2.657,1
1980,1,5,0,0.7874,-3.037,1
1980,1,5,6,0.5334,-3.685,1
1980,1,5,12,0,-3.574,1
1980,1,5,18,0,-5.472,1
1980,1,6,0,0,-7.833,1
1980,1,6,6,0,-7.111,1
1980,1,6,12,0,-4.324,1
1980,1,6,18,0,-8.111,1
1980,1,7,0,0,-9,1
1980,1,7,6,0,-7.389,1
1980,1,7,12,2.0574,-4.074,1
1980,1,7,18,1.3208,-6.75,1
1980,1,8,0,0.5842,-7.898,1
1980,1,8,6,0.381,-9.13,1
1980,1,8,12,1.3462,-8.278,1
1980,1,8,18,5.207,-9.963,1
1980,1,9,0,2.7178,-10.12,1
1980,1,9,6,1.143,-9.704,1
1980,1,9,12,3.5814,-8.713,1
1980,1,9,18,3.302,-10.565,1
1980,1,10,0,6.1214,-11.407,1
1980,1,10,6,0.889,-12.509,1
1980,1,10,12,0.6604,-10.157,1
1980,1,10,18,1.4732,-8.074,1
