year,month,day,hour,map_mm,mat_degc,ptps
1979,10,1,0,0,9.278,0
1979,10,1,6,0,12.759,0
1979,10,1,12,0,17.602,0
1979,10,1,18,0,10.296,0
1979,10,2,0,0,7.491,0
1979,10,2,6,0,10.907,0
1979,10,2,12,0,19.667,0
1979,10,2,18,0,8.519,0
1979,10,3,0,0,5.028,0.0483333333333333
1979,10,3,6,0,11.454,0
1979,10,3,12,0,18.546,0
1979,10,3,18,0,10.074,0
1979,10,4,0,0,6.657,0
1979,10,4,6,0,10.611,0
1979,10,4,12,0,17.028,0
1979,10,4,18,0,8.398,0
1979,10,5,0,0,5.509,0
1979,10,5,6,0,9.796,0
1979,10,5,12,0,16.861,0
1979,10,5,18,0,8.583,0
1979,10,6,0,0,5.639,0
1979,10,6,6,0,10.315,0
1979,10,6,12,0,15.843,0
1979,10,6,18,0,9.046,0
1979,10,7,0,0,7.185,0
1979,10,7,6,0,11.056,0
1979,10,7,12,0,18.13,0
1979,10,7,18,0,9.093,0
1979,10,8,0,0,5.546,0
1979,10,8,6,0,10.352,0
1979,10,8,12,0,19.037,0
1979,10,8,18,0,8.306,0
1979,10,9,0,0,4.75,0.03
1979,10,9,6,0,10.88,0.005
1979,10,9,12,0,19.352,0
1979,10,9,18,0,8.306,0
1979,10,10,0,0,4.519,0.0616666666666667
1979,10,10,6,0,10.787,0.00333333333333333
1979,10,10,12,0,17.741,0
1979,10,10,18,0,8.704,0
1979,10,11,0,0,5.769,0
1979,10,11,6,0,9.63,0
1979,10,11,12,0,16.139,0
1979,10,11,18,0,8,0
1979,10,12,0,0,5.731,0
1979,10,12,6,0,9.194,0
1979,10,12,12,0,13.769,0
1979,10,12,18,0,8.12,0
1979,10,13,0,0,6.88,0
1979,10,13,6,0,9.167,0
1979,10,13,12,0,12.981,0
1979,10,13,18,3.8862,9.991,0
1979,10,14,0,1.2954,9.824,0
1979,10,14,6,0,11.046,0
1979,10,14,12,0.3048,12.907,0
1979,10,14,18,0.0762,10.333,0
1979,10,15,0,0.2286,8.889,0
1979,10,15,6,1.3716,10.62,0
1979,10,15,12,1.3716,14.444,0
1979,10,15,18,1.3716,8.917,0
1979,10,16,0,1.1176,8.074,0
1979,10,16,6,0.127,11.074,0
1979,10,16,12,1.778,11.426,0
1979,10,16,18,0.1524,8.981,0
1979,10,17,0,1.8542,6.204,0
1979,10,17,6,4.6736,7.278,0
1979,10,17,12,1.143,11.611,0
1979,10,17,18,0,7.083,0
1979,10,18,0,6.9596,5.741,0
